,Name,ID,Country,Cloudiness,Temperature,Latitude,Longitude,Humidity,Wind Speed
382,Nihon’ōdōri,1855444,JP,90,43.43,35.45,139.65,82,7.4
383,Seitenroda,6550406,DE,75,42.01,50.8,11.62,86,5.82
384,Vyshkovo,688717,UA,92,43.66,48.05,23.42,75,5.82
385,Ebeltoft,2622793,DK,64,35.6,56.19,10.68,93,6.93
386,Sedze-Maubecq,6612732,FR,0,38.3,43.35,-0.12,84,2.24
387,Loulé,8010519,PT,75,64.4,37.19,-8.05,77,19.46
388,Ugarana,3107326,ES,20,52.61,43.14,-2.75,62,9.17
389,Guindarohan,1712386,PH,20,78.8,10.26,123.77,83,8.05
390,Pongaroa,2184429,NZ,92,59.62,-40.55,176.18,93,17.13
391,Payhembury,2640551,GB,75,45.52,50.81,-3.3,93,17.22
392,Gouvernorat de Nabeul,2468576,TN,75,63.1,36.67,10.67,87,2.24
393,Kelwa,1267311,IN,0,50.22,25.15,73.83,73,2.37
394,Villamiroglio,6535065,IT,20,47.39,45.13,8.17,93,6.93
395,Brough,2654532,GB,68,42.28,53.7,-0.58,93,5.82
396,Palcza,3089533,PL,75,39.2,49.8,19.74,100,2.24
397,Midland,5201046,US,90,46.09,40.26,-80.22,93,8.05
398,Pingdu,1798821,CN,44,35.6,36.78,119.95,72,2.24
399,Ocna Sibiului,672023,RO,68,37.4,45.88,24.05,93,3.36
400,Champ-sur-Drac,3027011,FR,0,37.4,45.07,5.73,93,9.17
401,Wulkenzin,2805865,DE,92,34.92,53.53,13.17,99,5.95
402,Brodersby,2943922,DE,88,38.28,54.63,9.98,100,11.41
403,Miceti,1037807,MZ,40,78.8,-12.95,40.5,88,4.7
404,Jebrail,148141,AZ,20,24.79,39.4,47.03,84,2.15
405,Albia,4846529,US,1,53.83,41.03,-92.81,54,9.17
406,Bas-et-Lezat,3034745,FR,0,38.39,46.03,3.3,86,3.36
407,La Carrera de Otero,3119880,ES,92,42.8,42.52,-6.03,100,13.87
408,Lauriano,3175033,IT,20,46.4,45.16,7.99,93,6.93
409,Trieb,2821203,DE,44,40.08,50.48,12.28,81,6.93
410,Vacaville,5405228,US,90,61.32,38.36,-121.99,68,5.82
411,Myra,3145171,NO,76,30.82,58.75,8.86,95,11.65
412,Crisan,680203,RO,0,32.0,44.97,29.47,100,5.82
413,Norsborg,2688188,SE,80,28.27,59.24,17.81,92,3.36
414,Luwan,1801696,CN,0,48.11,31.21,121.46,100,2.24
415,Tierra Buena,5402570,US,90,59.77,39.15,-121.67,83,3.36
416,Paitzdorf,6550511,DE,36,40.64,50.85,12.22,81,6.93
417,Caiuti-Sat,683042,RO,90,30.2,46.18,26.93,92,4.7
418,Rivalta di Torino,3169262,IT,20,41.72,45.03,7.52,93,6.93
419,Republic of Finland,660013,FI,0,24.12,64.0,26.0,91,5.95
420,Rowlstone,2639039,GB,90,45.21,51.93,-2.92,93,21.92
421,Cheltenham,2653261,GB,75,43.63,51.9,-2.08,81,14.99
422,Ippenschied,6553502,DE,75,40.66,49.87,7.63,93,3.15
423,Remouille,2984038,FR,92,46.98,47.06,-1.38,93,11.41
424,Datarkadu,8021555,ID,80,76.54,-7.59,108.21,100,4.61
425,Zdunska Wola,3080414,PL,90,37.4,51.6,18.94,100,1.12
426,Newstead,2155392,AU,90,55.4,-41.43,147.17,71,14.99
427,Tempio Pausania,3165828,IT,92,56.37,40.9,9.1,100,3.36
428,Sainte-Luce,3569928,MQ,20,83.62,14.47,-60.93,69,9.17
429,Timeng,1917571,CN,40,75.2,18.57,110.01,73,5.39
430,Nolhaga,2689513,SE,20,25.43,57.93,12.52,92,6.93
431,Pucheng,1798427,CN,0,15.7,36.41,111.09,65,2.93
432,Parlavà,6534098,ES,20,42.8,42.02,3.04,100,4.27
433,Bulasa,1722947,PH,20,78.8,9.93,123.62,83,8.05
434,Sukhothai,1150533,TH,12,67.36,17.01,99.82,94,2.71
435,Lake Mohegan,5123823,US,90,39.88,41.32,-73.85,69,4.7
436,Oberahr,2861469,DE,75,40.91,50.5,7.87,93,4.16
437,Bungalally,2173263,AU,0,52.69,-36.8,142.25,87,7.18
438,Pomerol,6454015,FR,0,42.58,44.93,-0.2,87,9.17
439,Mazatlan,3523412,MX,0,81.49,17.45,-99.48,38,2.71
440,Maslovo,528688,RU,0,24.57,60.98,29.53,80,5.95
441,Frinton-on-Sea,2649049,GB,92,42.85,51.84,1.25,93,6.93
442,Brückrachdorf,2943401,DE,75,40.69,50.55,7.68,93,5.82
443,Gubden,558186,RU,40,39.2,42.57,47.57,80,4.47
444,Kiraz,307727,TR,0,30.55,38.23,28.2,83,1.92
445,Nierstein,2862485,DE,75,44.49,49.88,8.35,93,3.71
446,Kamianka,707052,UA,8,21.19,49.03,32.1,96,9.75
447,Pinos Puente,6357764,ES,40,46.4,37.23,-3.81,87,1.12
448,Culiacancito,4012173,MX,75,84.2,24.82,-107.53,39,3.36
449,Duobao,1811829,CN,24,45.22,30.67,112.69,93,2.82
450,Akropong,2305027,GH,20,82.4,5.97,-0.09,78,5.82
451,Kludenbach,2887355,DE,75,40.68,49.98,7.37,100,5.82
452,Zhelino,783926,MK,75,47.25,41.98,21.06,87,3.36
453,Gerga,802000,RU,40,39.2,42.35,47.96,80,4.47
454,Conargo,7839714,AU,36,56.2,-35.23,144.82,75,4.38
455,Nazas,3995005,MX,12,79.2,25.23,-104.13,22,3.94
456,Chaloem Phra Kiat,7510912,TH,0,72.54,14.61,100.91,68,6.29
457,La Atalaya,2516188,ES,40,57.78,37.24,-6.01,82,8.05
458,Oneop Municipality,7626973,FM,92,77.49,5.51,153.71,100,12.55
459,Andrate,3183077,IT,20,47.39,45.53,7.88,93,6.93
460,Einste,2931660,DE,75,35.01,52.92,9.12,93,5.82
461,Amadeo,1731212,PH,40,78.8,14.17,120.92,88,3.36
462,Mircea Voda,673154,RO,0,33.8,44.28,28.17,84,4.7
463,Winong,8058427,ID,56,74.2,-6.74,111.03,100,4.61
464,Babati,161312,TZ,92,63.67,-4.22,35.75,96,3.83
465,Macabuboni,1704442,PH,0,76.9,16.19,119.78,100,6.4
466,Poschiavo,2659165,CH,75,31.3,46.32,10.06,100,2.24
467,Oughterard,2962144,IE,88,45.0,53.42,-9.33,100,13.67
468,Saint-Rémy-de-Salers,2977213,FR,0,37.4,45.12,2.47,86,8.05
469,Moyamba,2405013,SL,56,83.29,8.17,-12.43,54,2.15
470,Saale-Holzland-Kreis,6547393,DE,75,40.35,50.89,11.73,86,5.82
471,Gaillefontaine,3016812,FR,90,41.56,49.65,1.62,93,4.7
472,Mill Town,4711437,US,68,78.13,30.96,-95.37,43,4.7
473,Huntingburg,4259271,US,1,58.91,38.3,-86.96,68,13.87
474,Deuben,2937873,DE,36,40.98,51.12,12.07,81,6.93
475,Aspach,7873092,AT,75,40.05,48.19,13.3,93,3.36
476,Verkhniy Avzyan,475206,RU,76,17.68,53.53,57.54,82,13.0
477,Haussommern,2908696,DE,75,39.2,51.18,10.82,86,5.82
478,Arnstedt,2955437,DE,20,37.4,51.68,11.5,100,3.36
479,Volovets,689106,UA,90,44.6,48.71,23.19,93,4.47
480,Várzea,2261835,PT,75,57.2,39.52,-8.33,100,4.7
481,Hurst Green,2646356,GB,0,41.45,53.83,-2.48,81,6.93
482,Groß Disnack,6551440,DE,75,37.4,53.75,10.68,100,8.05
483,Haldenstein,2660420,CH,75,31.42,46.88,9.53,100,2.24
484,Krina,2883895,DE,20,36.37,51.65,12.48,100,3.36
485,Govindgarh,1270856,IN,0,58.09,24.38,81.3,56,4.5
486,Mont-Bernanchon,6617291,FR,90,42.8,50.58,2.59,100,3.36
487,Waldbreitbach,6553862,DE,75,40.98,50.55,7.42,93,5.82
488,Sandstone,5045908,US,90,32.43,46.13,-92.87,83,10.29
489,Qalah-ye Shahi,1130132,AF,1,57.38,34.65,70.59,42,2.24
490,Pekan Nenas,1732706,MY,75,79.18,1.51,103.51,94,1.12
491,Sangão,3450485,BR,76,71.41,-28.73,-49.4,97,21.83
492,Saclay,6446196,FR,80,41.77,48.73,2.17,100,3.36
493,Tiruvannamalai,1254327,IN,0,68.8,12.22,79.07,92,4.05
494,Saly,715930,HU,92,40.05,47.95,20.67,97,2.37
495,Hesel,2905421,DE,88,36.63,53.3,7.6,93,6.93
496,Brooker,2075738,AU,36,58.95,-34.1,135.9,96,12.88
497,Corbridge,2652382,GB,75,39.25,54.97,-2.02,93,4.7
498,Frohnleiten,7872328,AT,75,41.72,47.28,15.28,93,1.12
499,Watsa,204283,CD,8,65.38,3.04,29.54,85,2.71
